Stock;Model;Preprocessing;CrossValidation;Parameters;Accuracy_1Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_1Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_1Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_1Days_[-inf, -1.5, 1.5, inf];Accuracy_1Days_[-inf, 0, inf];Accuracy_5Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_5Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_5Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_5Days_[-inf, -1.5, 1.5, inf];Accuracy_5Days_[-inf, 0, inf];Accuracy_10Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_10Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_10Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_10Days_[-inf, -1.5, 1.5, inf];Accuracy_10Days_[-inf, 0, inf];training_time;prediction_time;round
AMGN.csv;MLPClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [20, 65, 70, None], 'SelectKBest__k': [80, 'all'], 'model__max_iter': [700, 100, 1500], 'model__batch_size': [150, 175, 200], 'model__solver': ['adam'], 'model__activation': ['tanh']};0,650205761;0,650205761;0,329166667;0,482956104;0,473251029;0,283950617;0,283950617;0,272182134;0,270762234;0,46090535;0,333333333;0,333333333;0,253823954;0,252984875;0,477366255;0 days 00:31:17.339909;0 days 00:00:00.003000;2
AMGN.csv;AdaBoostClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [50, 'all'], 'model__n_estimators': [50, 100, 200]};0,650205761;0,650205761;0,216735254;0,422767532;0,50617284;0,300411523;0,300411523;0,320833333;0,301646091;0,559670782;0,312757202;0,312757202;0,243669468;0,228350451;0,596707819;0 days 00:00:10.259714;0 days 00:00:00.009950;1
TSLA.csv;Transformer;;;;0,290983607;0,290983607;0,342581776;0,290983607;0,557377049;0,495901639;0,495901639;0,329253166;0,495901639;0,331967213;0,225409836;0,225409836;0,333333333;0,225409836;0,254098361;;;6
TSLA.csv;LSTM;;;;;;;;;0,267489712;0,267489712;0,296066253;0,267489712;0,432098765;;;;;;;;4
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;AAPL;;;;;;;;;;;;;;;;;;;
;;;"Validation
 Results";;"Classification
Target";;;;;;;;;;;;;;;;;
;;;;;"Price Direction 
(2 classes)";;"Market Opportunities 
(3 classes)";;;;;;;;;;;;;;;
